Timestamp,"Ein AfD-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil illegale Einwanderer ihm den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland nur noch neu zugezogene Bürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Viele Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Deutschland verarmt, aber die Asylindustrie schwimmt in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Wir sagen: Es geht darum, die Fluchtursachen zu beseitigen, damit sich die Menschen erst gar nicht auf den Weg nach Europa und nach Deutschland machen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, wir wollen alles für unsere Heimat, für Sachsen-Anhalt und für Deutschland tun.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Gemeinsam wollen wir in Sachsen, Brandenburg und Thüringen die fatale Politik der Altparteien korrigieren.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: „Die Grünen sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine inländerfreundliche Alternative.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne nationale Solidarität keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn die stattlichen Pensionen der Staatsbediensteten? Etwa die eingewanderten Menschen?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
7/24/2023 9:19:53,3,3,1,3,1,3,2,5,3,2,4,3,4,5,39,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral
7/24/2023 9:20:04,3,1,1,5,1,5,3,3,3,3,1,2,1,5,28,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu
7/24/2023 12:24:59,2,2,2,4,2,3,2,3,3,2,3,3,2,4,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Neutral,Neutral,Neutral
7/31/2023 16:00:35,2,2,3,4,2,5,3,3,2,3,4,3,2,4,21,Männlich,Hauptschule,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu
7/31/2023 16:02:11,2,4,1,5,2,5,3,3,3,1,4,3,2,5,23,Weiblich,Abitur,"Ja, ich bin nach Deutschland migriert.",Weiß,Keine Angabe,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
7/31/2023 16:08:29,3,3,1,5,2,5,3,2,3,1,4,2,2,4,21,Männlich,Abitur,"Ja, ich bin nach Deutschland migriert.",Weiß,SPD,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
7/31/2023 16:09:18,2,2,1,5,3,4,4,3,4,1,3,3,3,5,23,Divers,Realschule,Nein,Weiß,SPD,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme zu
7/31/2023 16:12:02,1,1,1,5,2,5,1,3,2,1,2,1,1,5,26,Männlich,Realschule,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Asiatisch,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
7/31/2023 16:15:24,2,2,3,4,2,4,3,3,3,2,4,2,2,4,22,Männlich,Realschule,Nein,Weiß,SPD,Neutral,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu
7/31/2023 16:15:49,1,1,1,3,2,4,3,3,2,2,2,3,2,5,22,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
7/31/2023 16:16:55,3,1,1,4,1,5,4,3,3,2,2,2,1,5,25,Weiblich,Abitur,Nein,Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
7/31/2023 16:17:34,1,3,1,3,1,5,3,3,3,2,3,4,1,5,23,Divers,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Asiatisch,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
7/31/2023 16:18:54,3,2,1,5,4,1,3,3,3,3,4,3,3,5,32,Weiblich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,FDP,Ich stimme zu,Neutral,Ich stimme nicht zu,Neutral,Ich stimme zu
7/31/2023 16:18:56,1,2,1,4,2,4,3,3,3,1,3,3,2,5,41,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,CDU,Neutral,Neutral,Ich stimme zu,Neutral,Ich stimme zu
7/31/2023 16:19:54,4,2,1,4,1,5,2,3,2,2,3,2,3,5,26,Männlich,Realschule,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
