Timestamp,"Ein AfD-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil ihm gegen das Gesetz eingewanderte Menschen den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland eben nur noch Neubürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Viele gemäßigte Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Deutschland verarmt, aber die Organisationen, die Flüchtlinge unterstützen, schwimmen in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Ursachen für Flucht wie Krieg, Umweltfaktoren und Armut sind zu beseitigen, damit die Menschen nicht nach Europa und Deutschland flüchten müssen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, alles für unsere Heimat. Alles für Sachsen-Anhalt. Alles für Deutschland.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Gemeinsam schaffen wir eine Freiheitszone, in der die fatale Politik der Altparteien korrigiert wird.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: „Die Grünen sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine Alternative, die sich für die Bedürfnisse der Menschen innerhalb Deutschlands einsetzt.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne Solidarität innerhalb Deutschlands keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn Ihre stattlichen Pensionen? Ihre eingewanderten Goldstücke etwa?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
8/7/2023 14:55:18,4,1,1,4,1,5,2,3,1,1,4,2,1,4,33,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral
8/7/2023 14:57:04,1,2,1,4,1,5,2,3,1,1,3,2,2,5,31,Weiblich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/7/2023 15:01:02,1,1,1,5,1,5,3,1,2,1,2,1,1,5,26,Männlich,Abitur,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/7/2023 15:03:26,2,3,2,5,3,5,3,3,3,2,3,3,1,5,24,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme nicht zu
8/7/2023 15:04:22,1,2,1,3,2,4,2,1,1,1,2,2,1,5,33,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/7/2023 15:04:26,1,2,1,3,1,5,3,3,2,1,2,2,1,5,23,Weiblich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Schwarz,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 15:09:54,1,3,1,5,3,5,2,3,3,2,3,4,4,5,28,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/7/2023 15:10:59,1,2,1,4,1,5,3,1,3,1,3,3,1,5,58,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/7/2023 15:14:30,4,4,5,1,5,1,3,4,4,4,4,3,5,1,28,Männlich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Neutral,Ich stimme zu,Neutral,Neutral
8/7/2023 15:15:33,1,2,1,5,2,5,3,2,1,1,3,1,1,4,26,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",mixed,CDU,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu,Ich stimme zu
8/7/2023 15:17:37,2,3,3,5,1,5,3,2,3,1,4,2,1,5,35,Männlich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Linke,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral
8/7/2023 15:23:20,1,4,2,4,3,5,3,3,2,2,3,3,2,5,35,Männlich,Studium,Nein,Weiß,SPD,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/7/2023 15:25:59,2,3,1,4,2,5,2,3,3,2,4,2,1,5,1 8,Männlich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/7/2023 15:29:31,1,2,1,5,2,5,2,3,3,1,4,3,3,5,23,Weiblich,Studium,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/7/2023 15:32:12,3,5,3,5,1,5,4,2,2,1,2,2,1,5,22,Weiblich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
