Timestamp,"Ein Grünen-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil ihm gegen das Gesetz eingewanderte Menschen den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland eben nur noch Neubürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Viele gemäßigte Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Deutschland verarmt, aber die Organisationen, die Flüchtlinge unterstützen, schwimmen in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Ursachen für Flucht wie Krieg, Umweltfaktoren und Armut sind zu beseitigen, damit die Menschen nicht nach Europa und Deutschland flüchten müssen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, alles für unsere Heimat. Alles für Sachsen-Anhalt. Alles für Deutschland.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Gemeinsam schaffen wir eine Freiheitszone, in der die fatale Politik der Altparteien korrigiert wird.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: „Die AfD sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine Alternative, die sich für die Bedürfnisse der Menschen innerhalb Deutschlands einsetzt.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne Solidarität innerhalb Deutschlands keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn Ihre stattlichen Pensionen? Ihre eingewanderten Goldstücke etwa?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
8/7/2023 17:58:37,4,1,1,5,1,5,2,1,3,2,3,3,1,5,32,Männlich,Realschule,"Ja,  mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Weiß,Keine Angabe,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/7/2023 18:07:51,4,2,3,5,3,5,3,3,3,3,3,4,2,5,34,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme nicht zu,Neutral,Ich stimme nicht zu,Neutral
8/7/2023 18:08:17,2,2,2,5,2,5,3,1,3,1,1,3,1,5,37,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:08:44,2,2,1,5,1,5,2,1,5,1,1,3,1,5,37,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:13:10,2,3,1,5,1,5,3,1,3,1,3,3,1,5,39,Weiblich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:13:47,3,1,1,5,1,5,3,1,3,3,3,3,1,3,26,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme nicht zu,Neutral
8/7/2023 18:13:49,2,1,1,4,1,5,2,1,3,1,2,3,1,5,39,Männlich,Studium,Nein,Weiß,FDP,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/7/2023 18:13:50,3,1,1,5,2,5,3,3,3,1,4,2,1,5,25,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Person of Color,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/7/2023 18:15:10,2,1,1,4,1,4,3,3,2,2,2,2,1,5,29,Männlich,Realschule,Nein,Weiß,Linke,Neutral,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme zu
8/7/2023 18:15:25,3,1,1,5,1,5,3,2,3,2,3,2,1,5,66,Männlich,Studium,Nein,Weiß,Grüne,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Neutral
8/7/2023 18:16:24,3,2,2,4,2,4,3,1,4,2,3,3,1,4,39,Männlich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme nicht zu
8/7/2023 18:16:43,1,2,2,4,1,4,3,1,4,1,2,1,1,5,28,Männlich,Realschule,"Ja,  mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Weiß,"Volt, falls diese zur Wahl stehen.",Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:17:35,3,3,1,4,2,5,4,1,4,2,3,3,1,5,25,Männlich,Realschule,Nein,Weiß,FDP,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu,Neutral
8/7/2023 18:17:54,2,1,1,5,1,5,4,1,3,2,1,4,1,5,26,Weiblich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:18:33,2,1,1,5,2,5,3,3,3,1,3,5,1,4,21,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Asiatisch,Freie Wähler,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
