Timestamp,"Ein Grünen-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil illegale Einwanderer ihm den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland nur noch neu zugezogene Bürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Viele Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Deutschland verarmt, aber die Asylindustrie schwimmt in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Wir sagen: Es geht darum, die Fluchtursachen zu beseitigen, damit sich die Menschen erst gar nicht auf den Weg nach Europa und nach Deutschland machen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, wir wollen alles für unsere Heimat, für Sachsen-Anhalt und für Deutschland tun.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Gemeinsam wollen wir in Sachsen, Brandenburg und Thüringen die fatale Politik der Altparteien korrigieren.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: „Die AfD sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine inländerfreundliche Alternative.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne nationale Solidarität keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn die stattlichen Pensionen der Staatsbediensteten? Etwa die eingewanderten Menschen?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
8/7/2023 13:37:29,4,3,2,4,1,5,2,3,3,3,2,3,2,5,35,Männlich,Abitur,Nein,Weiß,AfD,Neutral,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu
8/7/2023 13:39:47,3,1,1,5,1,5,2,3,3,2,2,2,1,5,40,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Neutral,Neutral,Ich stimme zu,Neutral
8/7/2023 13:40:31,1,2,1,4,1,3,3,1,3,2,1,2,1,5,26,Weiblich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 13:43:18,1,2,1,5,1,5,2,3,3,1,2,2,1,5,52,Männlich,Abitur,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/7/2023 13:44:26,1,1,1,5,1,5,3,2,3,1,1,2,1,5,38,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 13:48:20,3,1,1,5,1,4,5,3,3,2,2,3,2,4,30,Männlich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,Ich stimme nicht zu
8/7/2023 13:51:25,3,3,2,4,2,5,4,1,3,2,2,3,2,5,21,Weiblich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Neutral,Neutral,Ich stimme zu,Neutral,Neutral
8/7/2023 13:52:06,3,1,1,4,1,3,2,3,3,1,2,2,2,4,35,Weiblich,Abitur,"Ja, ich bin nach Deutschland migriert.",Weiß,FDP,Neutral,Neutral,Ich stimme zu,Neutral,Neutral
8/7/2023 13:52:17,5,2,1,5,2,4,3,3,3,2,3,4,2,4,25,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,AfD,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu,Ich stimme nicht zu
8/7/2023 13:55:41,3,2,1,5,2,5,3,2,3,1,2,3,1,5,33,Weiblich,Abitur,"Ja, ich bin nach Deutschland migriert.",Weiß,Grüne,Ich stimme zu,Neutral,Neutral,Ich stimme nicht zu,Ich stimme zu
8/7/2023 13:57:20,1,1,1,3,1,3,3,1,3,1,1,2,1,3,44,Divers,Abitur,Nein,Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 13:59:03,3,2,1,5,2,5,3,3,3,2,3,3,4,5,51,Weiblich,Studium,Nein,Weiß,FDP,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/7/2023 14:00:51,1,1,1,3,1,5,1,1,1,1,1,1,1,5,43,Männlich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",mixed,keine,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/7/2023 14:01:09,3,2,2,5,2,4,3,3,3,3,2,3,2,4,31,Männlich,Studium,Nein,Weiß,SPD,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Neutral
8/7/2023 14:01:15,2,2,2,4,2,4,3,3,3,3,3,3,3,4,36,Männlich,Realschule,Nein,Weiß,Ich wähle nicht. Sind alles Schwachköpfe...,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/7/2023 14:02:54,2,3,4,4,2,4,3,3,3,2,3,3,2,5,71,Weiblich,Studium,Nein,Weiß,FDP,Ich stimme nicht zu,Neutral,Ich stimme zu,Neutral,Ich stimme nicht zu
8/7/2023 14:04:42,3,2,1,4,1,4,4,3,3,3,2,2,2,5,30,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme zu
8/7/2023 14:04:49,1,3,1,4,3,5,3,3,3,2,3,2,1,5,27,Männlich,Studium,"Ja, mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",mixed,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/7/2023 14:08:21,1,3,1,5,3,5,3,1,1,1,5,3,1,5,35,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,Grüne,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral
8/7/2023 14:20:05,3,3,2,5,1,5,3,3,3,3,3,3,3,4,28,Männlich,Abitur,Nein,Weiß,Die PARTEI,Neutral,Ich stimme nicht zu,Neutral,Ich stimme nicht zu,Ich stimme zu
8/21/2023 15:18:04,2,1,1,5,1,5,5,3,3,3,2,3,1,5,26,Männlich,Abitur,Nein,Weiß,Keine Angabe,Neutral,Neutral,Neutral,Neutral,Neutral
8/21/2023 15:18:27,2,3,1,5,2,5,4,3,3,2,2,3,2,5,25,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/21/2023 15:22:27,4,1,1,5,1,5,5,5,5,5,3,3,2,5,30,Männlich,Abitur,Nein,Weiß,SPD,Neutral,Ich stimme nicht zu,Ich stimme nicht zu,Neutral,Ich stimme zu
8/21/2023 15:24:24,4,2,3,5,2,5,3,3,3,3,3,3,2,5,35,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu
8/21/2023 15:24:29,2,3,1,4,2,5,3,3,3,2,1,2,2,4,26,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,FDP,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu
